"IP","MAC","SO","TTL","PUERTO","SERVICIO"
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.3,"","Linux",64,83,""
10.0.2.4,"","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.4,"52:54:00:12:35:04","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.4,"52:54:00:12:35:04","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.4,"52:54:00:12:35:04","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.4,"52:54:00:12:35:04","Linux",64,83,""
10.0.2.15,"","Linux",64,83,""
10.0.2.2,"52:54:00:12:35:02","Linux",64,83,""
10.0.2.3,"52:54:00:12:35:03","Linux",64,83,""
10.0.2.4,"52:54:00:12:35:04","Linux",64,83,""
10.0.2.15,"","Linux",64,83,"World Wide Web HTTP"
